"year","site","season","fakedate","C3_forb","C3_grass","C3_shrub_subshrub","C4_forb","C4_grass","CAM","<NA>","season.precip","season.temp","minimum.temp","maximum.temp","Cricetid","Heteromyid","Scurid"
"1",1999,"C","1",1999-04-01,0.310375,0,7.128375,0,2.206875,0.7125,1.57725,34.3,12.8767955801105,-11.6,38.9,2.16666666666667,14.5833333333333,0.333333333333333
"2",1999,"C","2",1999-10-01,0.751,0.004375,6.26475,0.7095,1.773875,1.6125,1.272,150.5,20.6967479674797,-3.1,39.7,1.5,10.8333333333333,0.666666666666667
"3",1999,"G","1",1999-04-01,0.07425,0,0.863375,0.231875,13.149,0.1375,2.972875,34.3,12.8767955801105,-11.6,38.9,0.75,9.83333333333333,0.75
"4",1999,"G","2",1999-10-01,0.205,0.005625,0.863875,0.622875,15.90775,0,3.258125,150.5,20.6967479674797,-3.1,39.7,0.166666666666667,5.41666666666667,0.916666666666667
"5",2000,"C","1",2000-04-01,0.482,0,8.352875,0,1.22925,1.8125,2.86775,87.5,11.6798353909465,-13.1,38,1.58333333333333,16.8333333333333,0.5
"6",2000,"C","2",2000-10-01,0.319375,0,9.576375,5e-04,1.21425,1.5625,1.6765,133.9,21.890243902439,1.5,47.2,1.58333333333333,19.25,0.0833333333333333
"7",2000,"G","1",2000-04-01,0.48775,0,0.83125,0.36725,19.07275,0,4.043625,87.5,11.6798353909465,-13.1,38,0.5,5.75,0.333333333333333
"8",2000,"G","2",2000-10-01,0.042625,0,0.24025,0.43875,15.142,0,2.072375,133.9,21.890243902439,1.5,47.2,1,7.25,0.583333333333333
"9",2001,"C","1",2001-04-01,1.612875,0,10.729625,0,1.0125,1.3125,2.7945,128.4,10.1450413223141,-14,37.2,0.222222222222222,7,0
"10",2001,"C","2",2001-10-01,1.48,0,9.268875,0.008875,1.2035,1.8,2.967625,131.4,21.7471544715447,0.7,37.3,0.444444444444444,8.77777777777778,0
"11",2001,"G","1",2001-04-01,3.101625,0,0.337,0.371875,13.03375,0.0125,5.74175,128.4,10.1450413223141,-14,37.2,0,4.55555555555556,0.111111111111111
"12",2001,"G","2",2001-10-01,1.03175,0,0.651375,0.3545,16.743125,0,5.076125,131.4,21.7471544715447,0.7,37.3,0,4.22222222222222,0
"13",2002,"C","1",2002-04-01,0.3077675,0,8.760125,0,0.92325,1.3,1.890125,52.5,11.3119834710744,-14.9,38.6,1.33333333333333,16.2222222222222,0
"14",2002,"C","2",2002-10-01,0.40725,0,13.35375,1.1601875,0.832625,1.6875,2.44075,176.5,20.9983739837398,-2.3,40,1,12.3333333333333,0.111111111111111
"15",2002,"G","1",2002-04-01,0.128875,0,0.27025,0.3375,11.145,0,2.038875,52.5,11.3119834710744,-14.9,38.6,0.333333333333333,9,0.222222222222222
"16",2002,"G","2",2002-10-01,2.30825,0,0.291875,7.999875,18.30175,0,4.448375,176.5,20.9983739837398,-2.3,40,0,2,0
"17",2003,"C","1",2003-04-01,0.45,0,13.01975,0,0.538,0.04375,1.457375,58.7,10.7760330578512,-39.7,41.3,6.55555555555556,29.5555555555556,0.111111111111111
"18",2003,"C","2",2003-10-01,0.0905,0,12.46,0.000125,0.20625,2.675,1.2095,111.7,23.079674796748,-2.4,40.6,6.22222222222222,33.8888888888889,0.777777777777778
"19",2003,"G","1",2003-04-01,1.262,0,0.424,0.513125,16.060625,0.000625,2.7495,58.7,10.7760330578512,-39.7,41.3,0.666666666666667,18,0.888888888888889
"20",2003,"G","2",2003-10-01,0.161125,0,0.449875,0.5135,14.5915,0,2.232125,111.7,23.079674796748,-2.4,40.6,1.33333333333333,28.4444444444444,0.444444444444444
"21",2004,"C","1",2004-04-01,0.9265,0,14.976,5e-04,0.186,0.825,1.80975,152.9,10.6358024691358,-13,37.5,1.22222222222222,6.22222222222222,0
"22",2004,"C","2",2004-10-01,0.74675,0,16.9625,0,0.474,1.225,2.9595,147.3,20.5739837398374,-1.3,37.9,4.33333333333333,16.2222222222222,0.333333333333333
"23",2004,"G","1",2004-04-01,2.15725,0,0.896,0.016,13.2555,0,7.47225,152.9,10.6358024691358,-13,37.5,1.22222222222222,7.11111111111111,0.555555555555556
"24",2004,"G","2",2004-10-01,1.48325,0,1.38125,0.075,23.39375,0,5.7215,147.3,20.5739837398374,-1.3,37.9,2,11.8888888888889,0.444444444444444
"25",2005,"C","1",2005-04-01,7.46975,0.025,11.515,0,0.3745,1.475,3.66875,153.8,10.6239669421488,-15.5,38,1.44444444444444,17.7777777777778,0
"26",2005,"C","2",2005-10-01,1.36,0,13.68,0.01325,0.23975,2.25,3.32975,163.2,21.8121951219512,1,38.5,6.33333333333333,27.1111111111111,0
"27",2005,"G","1",2005-04-01,6.677,0,2.3625,0.03125,19.934,0,10.87275,153.8,10.6239669421488,-15.5,38,0.444444444444444,12.3333333333333,0
"28",2005,"G","2",2005-10-01,2.3805,0,2.85625,0.2525,25.74125,0,10.049,163.2,21.8121951219512,1,38.5,1.83333333333333,11.8333333333333,0
"29",2006,"C","1",2006-04-01,0.19375,0.0125,10.565,0,0.21175,1.925,2.0395,27.4,11.8615702479339,-16.3,48.7,1,15.5555555555556,0
"30",2006,"C","2",2006-10-01,4.08275,0.025,17.4935,7.261,1.79425,2.375,5.80675,298.3,19.9715447154472,-2,38,1,15.8888888888889,0
"31",2006,"G","1",2006-04-01,0.3395,0,1.8315,0.01875,18.87275,0,4.283,27.4,11.8615702479339,-16.3,48.7,1.77777777777778,18.5555555555556,0
"32",2006,"G","2",2006-10-01,4.06425,0,2.557,1.481,32.113,0,9.7865,298.3,19.9715447154472,-2,38,0,9.44444444444444,0
"33",2007,"C","1",2007-04-01,8.301,0.05,14.3855,0,0.646,3.675,5.53625,149,9.98842975206612,-14.7,38,6.11111111111111,45.5555555555556,0
"34",2007,"C","2",2007-10-01,3.06325,0.1125,13.21925,0,0.60325,5.65,4.00875,92.1,21.8677966101695,-1.9,38.8,8,50.8888888888889,0
"35",2007,"G","1",2007-04-01,7.91725,0,3.38325,0.07725,30.115,0,11.59925,149,9.98842975206612,-14.7,38,2.33333333333333,10,0
"36",2007,"G","2",2007-10-01,1.49075,0,3.46525,0.03125,33.075,0,6.67775,92.1,21.8677966101695,-1.9,38.8,3.33333333333333,26.2222222222222,0
"37",2008,"C","1",2008-04-01,0.408,0.09375,7.275,0,0.22575,3.075,2.535,49.6,10.2720164609054,-15.6,37.5,1,38.1666666666667,0
"38",2008,"C","2",2008-10-01,1.6975,0.16875,13.13825,8.90625,6.2665,4.675,4.70825,245.5,20.7439024390244,-4.1,36.5,0.444444444444444,18.3333333333333,0
"39",2008,"G","1",2008-04-01,0.019625,0,1.2805,0.00875,22.35325,0,5.3235,49.6,10.2720164609054,-15.6,37.5,1.22222222222222,17.2222222222222,0
"40",2008,"G","2",2008-10-01,1.08075,0,0.98,1.45525,38.44275,0,7.717,245.5,20.7439024390244,-4.1,36.5,0.25,3.5,0
"41",2009,"C","1",2009-04-01,0.24175,0.2125,8.22225,0,0.50325,4.675,3.69525,77.4,11.103305785124,-11.6,35.1,1.11111111111111,37.5555555555556,0
"42",2009,"C","2",2009-10-01,0.27825,0,8.62725,0,0.823,5.625,2.64125,150.8,21.1934959349594,-4.8,38.6,1.66666666666667,32.3333333333333,0
"43",2009,"G","1",2009-04-01,0.0515,0,0.68625,0.01875,53.8215,0,5.48,77.4,11.103305785124,-11.6,35.1,0.444444444444444,7,0.333333333333333
"44",2009,"G","2",2009-10-01,0.11925,0,0.57375,0,18.47975,0,1.04875,150.8,21.1934959349594,-4.8,38.6,0.25,8.66666666666667,0.166666666666667
"45",2010,"C","1",2010-04-01,1.45975,0.3125,7.73475,0,0.82575,2.6625,3.15825,113.7,9.82396694214876,-12.1,39.2,0.333333333333333,16,0
"46",2010,"C","2",2010-10-01,0.77825,0.30125,8.76125,0,1.82,0.15,4.22325,113.6,22.2894308943089,-3.7,39.9,0,9.16666666666667,0
"47",2010,"G","1",2010-04-01,1.19833333333333,0,1.12933333333333,0,35.423,0,6.06033333333333,113.7,9.82396694214876,-12.1,39.2,0.333333333333333,3.33333333333333,0.166666666666667
"48",2010,"G","2",2010-10-01,0.189,0,0.671666666666667,0,41.248,0,4.78,113.6,22.2894308943089,-3.7,39.9,0.6,2.3,0.3
"49",2011,"C","1",2011-04-01,0.0161538461538462,0.282051282051282,0.715384615384615,0,1.23589743589744,0.128205128205128,3.1474358974359,7.2,10.6347107438017,-26.6,38.5,1,10.1111111111111,0.111111111111111
"50",2011,"C","2",2011-10-01,0.1355,0,2.5675,0.87125,1.35375,0.05625,2.81,110.9,22.2268292682927,0.3,37.7,0.5,13.3,0
"51",2011,"G","1",2011-04-01,0,0,0.683333333333333,0,18.9166666666667,0,3.28333333333333,7.2,10.6347107438017,-26.6,38.5,0.166666666666667,1.33333333333333,0
"52",2011,"G","2",2011-10-01,0.644333333333333,0,0.433333333333333,2.20666666666667,14.5286666666667,0,1.73666666666667,110.9,22.2268292682927,0.3,37.7,0.111111111111111,4.33333333333333,0.555555555555556
"53",2012,"C","1",2012-04-01,0.76775,0.025,-21.707,0,0.7355,0,3.54375,79.5,10.9761316872428,-17.2,39.2,2.44444444444444,18,0
"54",2012,"C","2",2012-10-01,0.435,0.01875,4.595,0,0.63,0.0525,2.65,91.4,22.0934959349593,-2.4,37.7,3.66666666666667,13,0.111111111111111
"55",2012,"G","1",2012-04-01,0.380666666666667,0,0.258333333333333,0,10.604,0,1.365,79.5,10.9761316872428,-17.2,39.2,0.444444444444444,6.77777777777778,0.111111111111111
"56",2012,"G","2",2012-10-01,0.843666666666667,0,0.55,0.838333333333333,15.8083333333333,0,2.91166666666667,91.4,22.0934959349593,-2.4,37.7,0.333333333333333,7,0.333333333333333
"57",2013,"C","1",2013-04-01,0,0,4.675,0,0.2195,0.04,1.9795,36.7,10.6210743801653,-16.7,40.7,1.33333333333333,8.44444444444444,0
